"Title","Gross Domestic Product: q-on-q4 growth rate CVM SA %"
"CDID","IHYR"
"Source dataset ID","QNA"
"PreUnit",""
"Unit","%"
"Release date","30-06-2026"
"Next release","13 August 2026"
"Important notes",
"1956 Q1","2.4"
"1956 Q2","2.3"
"1956 Q3","0.5"
"1956 Q4","1.7"
"1957 Q1","2.3"
"1957 Q2","2.3"
"1957 Q3","1.8"
"1957 Q4","1.5"
"1958 Q1","1.8"
"1958 Q2","-0.7"
"1958 Q3","2.1"
"1958 Q4","2.1"
"1959 Q1","0.6"
"1959 Q2","4.8"
"1959 Q3","4.7"
"1959 Q4","7.0"
"1960 Q1","9.0"
"1960 Q2","6.6"
"1960 Q3","5.9"
"1960 Q4","3.9"
"1961 Q1","3.0"
"1961 Q2","4.2"
"1961 Q3","2.1"
"1961 Q4","1.4"
"1962 Q1","0.2"
"1962 Q2","0.7"
"1962 Q3","1.8"
"1962 Q4","1.6"
"1963 Q1","1.7"
"1963 Q2","5.1"
"1963 Q3","4.9"
"1963 Q4","7.7"
"1964 Q1","7.9"
"1964 Q2","5.3"
"1964 Q3","5.2"
"1964 Q4","4.5"
"1965 Q1","3.5"
"1965 Q2","1.7"
"1965 Q3","2.1"
"1965 Q4","1.2"
"1966 Q1","1.7"
"1966 Q2","2.2"
"1966 Q3","1.7"
"1966 Q4","0.7"
"1967 Q1","1.8"
"1967 Q2","2.7"
"1967 Q3","2.8"
"1967 Q4","3.7"
"1968 Q1","6.1"
"1968 Q2","4.2"
"1968 Q3","5.8"
"1968 Q4","5.6"
"1969 Q1","1.7"
"1969 Q2","2.9"
"1969 Q3","1.5"
"1969 Q4","1.6"
"1970 Q1","1.1"
"1970 Q2","2.8"
"1970 Q3","3.2"
"1970 Q4","3.7"
"1971 Q1","3.8"
"1971 Q2","3.2"
"1971 Q3","4.0"
"1971 Q4","3.4"
"1972 Q1","4.1"
"1972 Q2","5.0"
"1972 Q3","3.5"
"1972 Q4","4.7"
"1973 Q1","9.6"
"1973 Q2","7.0"
"1973 Q3","5.7"
"1973 Q4","3.7"
"1974 Q1","-3.9"
"1974 Q2","-2.7"
"1974 Q3","-1.2"
"1974 Q4","-2.2"
"1975 Q1","0.6"
"1975 Q2","-2.5"
"1975 Q3","-3.3"
"1975 Q4","-0.8"
"1976 Q1","0.8"
"1976 Q2","2.4"
"1976 Q3","3.9"
"1976 Q4","5.0"
"1977 Q1","3.3"
"1977 Q2","2.7"
"1977 Q3","2.1"
"1977 Q4","1.7"
"1978 Q1","2.6"
"1978 Q2","4.5"
"1978 Q3","5.2"
"1978 Q4","4.4"
"1979 Q1","3.1"
"1979 Q2","6.4"
"1979 Q3","2.7"
